journey_id,train_no,train_name,source_station,destination_station,zone,distance_km,journey_date,year,month,season,scheduled_arrival,actual_arrival,delay_mins,delay_category,delay_reason,platform_no,passengers_count,train_type
JRN1160,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2022-07-16,2022,July,Monsoon,13:15,16:20,185,Severe Delay,Heavy rainfall on track,4,525,Express
JRN1161,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2022-07-16,2022,July,Monsoon,10:30,11:39,69,Major Delay,Signal failure due to rain,2,588,Express
JRN1162,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2023-10-24,2023,October,Winter,11:00,11:30,30,Minor Delay,Track inspection,2,541,Express
JRN1163,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-07-03,2022,July,Monsoon,10:30,11:54,84,Major Delay,Signal failure due to rain,4,849,Superfast
JRN1164,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2023-11-23,2023,November,Winter,12:30,13:41,71,Major Delay,Cold wave speed restriction,7,761,Express
JRN1165,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2023-11-05,2023,November,Winter,11:00,11:16,16,Minor Delay,Technical snag,8,698,Superfast
JRN1166,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2023-10-04,2023,October,Winter,08:45,08:45,0,On Time,No Delay,3,604,Express
JRN1167,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2022-03-24,2022,March,Summer,08:15,08:15,0,On Time,No Delay,8,708,Superfast
JRN1168,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2023-05-08,2023,May,Summer,21:15,22:33,78,Major Delay,Congestion at junction,4,689,Superfast
JRN1169,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2024-07-10,2024,July,Monsoon,09:45,11:31,106,Major Delay,Heavy rainfall on track,8,769,Express
JRN1170,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2023-03-02,2023,March,Summer,17:30,17:38,8,Minor Delay,Late running connecting train,4,811,Superfast
JRN1171,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2022-03-03,2022,March,Summer,09:15,09:15,0,On Time,No Delay,3,769,Express
JRN1172,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2024-01-22,2024,January,Winter,18:00,18:09,9,Minor Delay,Cold wave speed restriction,8,751,Mail
JRN1173,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2023-06-09,2023,June,Monsoon,15:15,16:09,54,Moderate Delay,Heavy rainfall on track,7,604,Superfast
JRN1174,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2023-03-13,2023,March,Summer,14:30,15:09,39,Moderate Delay,Congestion at junction,1,604,Superfast
JRN1175,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2024-07-23,2024,July,Monsoon,17:45,19:25,100,Major Delay,Signal failure due to rain,1,641,Superfast
JRN1176,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2023-02-24,2023,February,Winter,15:15,15:44,29,Minor Delay,Technical snag,6,641,Superfast
JRN1177,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2023-02-25,2023,February,Winter,19:45,20:23,38,Moderate Delay,Late running due to fog,4,906,Superfast
JRN1178,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2024-01-06,2024,January,Winter,16:30,16:38,8,Minor Delay,Track inspection,6,541,Express
JRN1179,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2023-12-24,2023,December,Winter,12:30,12:30,0,On Time,No Delay,8,471,Express
JRN1180,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2024-12-22,2024,December,Winter,15:45,15:45,0,On Time,No Delay,2,703,Mail
JRN1181,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2023-11-02,2023,November,Winter,06:15,07:05,50,Moderate Delay,Technical snag,6,713,Mail
JRN1182,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-04-23,2022,April,Summer,23:15,23:59,44,Moderate Delay,Late running connecting train,3,612,Express
JRN1183,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2024-12-16,2024,December,Winter,21:45,23:44,119,Major Delay,Dense fog signal restriction,5,665,Mail
JRN1184,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2024-08-25,2024,August,Monsoon,05:15,06:43,88,Major Delay,Signal failure due to rain,6,722,Express
JRN1185,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2024-10-12,2024,October,Winter,04:15,05:09,54,Moderate Delay,Cold wave speed restriction,4,783,Superfast
JRN1186,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2024-07-09,2024,July,Monsoon,22:15,23:32,77,Major Delay,Flood affected route,6,761,Express
JRN1187,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2024-07-06,2024,July,Monsoon,09:45,10:24,39,Moderate Delay,Heavy rainfall on track,2,811,Superfast
JRN1188,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2022-11-11,2022,November,Winter,15:15,15:42,27,Minor Delay,Dense fog signal restriction,8,533,Express
JRN1189,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2022-02-05,2022,February,Winter,06:00,06:50,50,Moderate Delay,Cold wave speed restriction,3,722,Express
JRN1190,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2023-12-12,2023,December,Winter,13:45,15:02,77,Major Delay,Technical snag,6,643,Express
JRN1191,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2024-07-23,2024,July,Monsoon,22:00,00:49,169,Severe Delay,Flood affected route,7,580,Express
JRN1192,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2022-05-06,2022,May,Summer,13:00,13:51,51,Moderate Delay,Track maintenance,2,912,Mail
JRN1193,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2024-05-19,2024,May,Summer,09:45,09:45,0,On Time,No Delay,3,934,Superfast
JRN1194,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2024-06-08,2024,June,Monsoon,08:30,10:35,125,Severe Delay,Heavy rainfall on track,6,708,Superfast
JRN1195,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2022-02-12,2022,February,Winter,10:00,10:34,34,Moderate Delay,Late running due to fog,6,594,Superfast
JRN1196,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2024-02-07,2024,February,Winter,10:45,11:41,56,Moderate Delay,Cold wave speed restriction,6,722,Mail
JRN1197,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2024-04-19,2024,April,Summer,11:45,12:16,31,Moderate Delay,Track maintenance,6,944,Superfast
JRN1198,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2024-04-18,2024,April,Summer,09:45,09:57,12,Minor Delay,Signal failure,2,623,Superfast
JRN1199,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2024-05-04,2024,May,Summer,10:30,11:51,81,Major Delay,Signal failure,3,682,Express
JRN1200,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-01-20,2022,January,Winter,07:00,07:50,50,Moderate Delay,Late running due to fog,5,604,Superfast
JRN1201,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2022-10-13,2022,October,Winter,04:00,05:06,66,Major Delay,Technical snag,4,903,Mail
JRN1202,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2023-02-11,2023,February,Winter,10:30,10:31,1,Minor Delay,Dense fog signal restriction,2,613,Superfast
JRN1203,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2024-07-14,2024,July,Monsoon,08:15,09:12,57,Moderate Delay,Signal failure due to rain,5,698,Superfast
JRN1204,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2023-10-25,2023,October,Winter,09:45,09:45,0,On Time,No Delay,7,573,Express
JRN1205,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-08-12,2022,August,Monsoon,10:15,13:23,188,Severe Delay,Track waterlogging,1,722,Express
JRN1206,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2022-01-07,2022,January,Winter,21:15,21:15,0,On Time,No Delay,6,670,Superfast
JRN1207,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2022-11-25,2022,November,Winter,10:45,10:53,8,Minor Delay,Track inspection,3,868,Superfast
JRN1208,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2022-12-18,2022,December,Winter,22:15,22:31,16,Minor Delay,Dense fog signal restriction,1,777,Express
JRN1209,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2024-07-26,2024,July,Monsoon,23:00,00:41,101,Major Delay,Landslide near track,5,944,Superfast
JRN1210,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2022-12-12,2022,December,Winter,21:15,21:24,9,Minor Delay,Track inspection,6,698,Superfast
JRN1211,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2024-06-12,2024,June,Monsoon,14:45,18:00,195,Severe Delay,Heavy rainfall on track,8,741,Mail
JRN1212,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2022-03-22,2022,March,Summer,06:45,08:20,95,Major Delay,Congestion at junction,2,580,Mail
JRN1213,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2022-10-02,2022,October,Winter,11:30,12:05,35,Moderate Delay,Cold wave speed restriction,2,604,Superfast
JRN1214,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2024-07-12,2024,July,Monsoon,17:15,19:26,131,Severe Delay,Signal failure due to rain,1,675,Express
JRN1215,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2022-08-25,2022,August,Monsoon,06:15,07:19,64,Major Delay,Flood affected route,4,525,Express
JRN1216,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2024-04-27,2024,April,Summer,17:45,19:13,88,Major Delay,Signal failure,6,494,Express
JRN1217,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2022-02-13,2022,February,Winter,04:45,05:33,48,Moderate Delay,Track inspection,8,604,Superfast
JRN1218,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2022-03-03,2022,March,Summer,11:00,11:23,23,Minor Delay,Track maintenance,6,769,Express
JRN1219,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2023-12-21,2023,December,Winter,08:00,08:00,0,On Time,No Delay,8,651,Superfast
JRN1220,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2023-08-25,2023,August,Monsoon,20:00,22:45,165,Severe Delay,Landslide near track,7,714,Express
JRN1221,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2024-11-22,2024,November,Winter,21:15,22:46,91,Major Delay,Dense fog signal restriction,7,580,Mail
JRN1222,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2022-04-24,2022,April,Summer,11:00,11:52,52,Moderate Delay,Late running connecting train,7,608,Mail
JRN1223,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2024-07-25,2024,July,Monsoon,14:45,14:45,0,On Time,No Delay,3,670,Superfast
JRN1224,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2022-06-01,2022,June,Monsoon,23:00,01:37,157,Severe Delay,Flood affected route,8,745,Express
JRN1225,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2023-02-12,2023,February,Winter,21:15,22:14,59,Moderate Delay,Technical snag,6,713,Mail
JRN1226,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2023-05-04,2023,May,Summer,23:00,00:01,61,Major Delay,Signal failure,2,566,Superfast
JRN1227,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2024-06-15,2024,June,Monsoon,09:45,11:46,121,Severe Delay,Landslide near track,5,821,Superfast
JRN1228,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2023-04-07,2023,April,Summer,08:30,09:02,32,Moderate Delay,Track maintenance,2,541,Express
JRN1229,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2022-10-24,2022,October,Winter,11:00,11:40,40,Moderate Delay,Track inspection,8,811,Superfast
JRN1230,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2024-03-18,2024,March,Summer,18:30,19:42,72,Major Delay,Signal failure,5,708,Superfast
JRN1231,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2022-03-05,2022,March,Summer,18:15,18:42,27,Minor Delay,Late running connecting train,1,849,Superfast
JRN1232,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-04-07,2022,April,Summer,10:30,10:30,0,On Time,No Delay,7,764,Superfast
JRN1233,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-12-27,2022,December,Winter,07:30,08:14,44,Moderate Delay,Cold wave speed restriction,5,565,Express
JRN1234,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2024-05-04,2024,May,Summer,15:45,15:45,0,On Time,No Delay,7,573,Express
JRN1235,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2023-05-18,2023,May,Summer,06:30,06:47,17,Minor Delay,Track maintenance,8,580,Express
JRN1236,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2024-11-02,2024,November,Winter,14:00,14:11,11,Minor Delay,Technical snag,8,573,Express
JRN1237,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2022-09-11,2022,September,Monsoon,04:15,06:53,158,Severe Delay,Signal failure due to rain,6,557,Express
JRN1238,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2023-04-09,2023,April,Summer,08:15,09:23,68,Major Delay,Congestion at junction,7,667,Express
JRN1239,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2022-03-17,2022,March,Summer,13:30,13:30,0,On Time,No Delay,8,811,Superfast
JRN1240,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-03-17,2022,March,Summer,09:30,10:28,58,Moderate Delay,Signal failure,2,840,Superfast
JRN1241,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2024-01-11,2024,January,Winter,19:00,20:10,70,Major Delay,Cold wave speed restriction,1,745,Superfast
JRN1242,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-02-20,2022,February,Winter,08:15,09:15,60,Moderate Delay,Dense fog signal restriction,5,745,Superfast
JRN1243,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2023-02-18,2023,February,Winter,11:45,12:01,16,Minor Delay,Technical snag,1,518,Express
JRN1244,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2024-10-01,2024,October,Winter,10:00,10:51,51,Moderate Delay,Track inspection,1,811,Superfast
JRN1245,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-07-19,2022,July,Monsoon,09:30,11:35,125,Severe Delay,Landslide near track,1,802,Superfast
JRN1246,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2024-04-14,2024,April,Summer,04:30,05:05,35,Moderate Delay,Track maintenance,5,620,Express
JRN1247,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2022-07-17,2022,July,Monsoon,06:45,06:45,0,On Time,No Delay,4,769,Express
JRN1248,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2022-06-03,2022,June,Monsoon,18:15,20:19,124,Severe Delay,Track waterlogging,6,821,Superfast
JRN1249,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2023-01-08,2023,January,Winter,13:45,14:36,51,Moderate Delay,Technical snag,4,620,Express
JRN1250,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2023-07-01,2023,July,Monsoon,11:00,11:00,0,On Time,No Delay,7,726,Superfast
JRN1251,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2023-06-18,2023,June,Monsoon,15:30,15:30,0,On Time,No Delay,7,541,Express
JRN1252,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-12-17,2022,December,Winter,15:30,15:38,8,Minor Delay,Track inspection,4,494,Express
JRN1253,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-08-10,2022,August,Monsoon,12:45,15:14,149,Severe Delay,Signal failure due to rain,3,580,Express
JRN1254,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2023-08-20,2023,August,Monsoon,09:00,10:36,96,Major Delay,Flood affected route,6,510,Express
JRN1255,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2022-04-22,2022,April,Summer,19:45,20:33,48,Moderate Delay,Signal failure,7,585,Superfast
JRN1256,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2024-08-19,2024,August,Monsoon,11:45,12:34,49,Moderate Delay,Signal failure due to rain,7,706,Express
JRN1257,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2024-04-25,2024,April,Summer,23:15,23:41,26,Minor Delay,Late running connecting train,1,566,Superfast
JRN1258,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2024-11-09,2024,November,Winter,21:45,21:45,0,On Time,No Delay,6,632,Superfast
JRN1259,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-01-04,2022,January,Winter,05:15,05:56,41,Moderate Delay,Technical snag,8,585,Superfast
JRN1260,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2024-08-08,2024,August,Monsoon,06:15,06:15,0,On Time,No Delay,2,613,Superfast
JRN1261,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2022-03-22,2022,March,Summer,22:30,22:30,0,On Time,No Delay,4,557,Express
JRN1262,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2023-02-14,2023,February,Winter,21:15,21:45,30,Minor Delay,Late running due to fog,8,760,Mail
JRN1263,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2023-03-01,2023,March,Summer,17:15,18:09,54,Moderate Delay,Congestion at junction,7,717,Superfast
JRN1264,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2024-07-04,2024,July,Monsoon,20:15,23:08,173,Severe Delay,Signal failure due to rain,3,608,Mail
JRN1265,12245,Duronto Express,Mumbai CST,Howrah,Western,1968,2024-10-10,2024,October,Winter,13:30,14:03,33,Moderate Delay,Track inspection,4,830,Superfast
JRN1266,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-11-03,2022,November,Winter,14:30,14:30,0,On Time,No Delay,1,764,Superfast
JRN1267,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2022-09-02,2022,September,Monsoon,10:00,11:24,84,Major Delay,Flood affected route,4,494,Express
JRN1268,10103,Mangala Express,Mumbai CST,Mangalore Central,Konkan,910,2024-05-23,2024,May,Summer,14:15,14:15,0,On Time,No Delay,2,565,Express
JRN1269,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2022-12-23,2022,December,Winter,18:00,19:00,60,Moderate Delay,Track inspection,5,570,Mail
JRN1270,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2024-05-02,2024,May,Summer,20:45,20:45,0,On Time,No Delay,7,761,Express
JRN1271,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2022-12-28,2022,December,Winter,13:45,13:45,0,On Time,No Delay,2,620,Express
JRN1272,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2022-01-14,2022,January,Winter,18:00,18:55,55,Moderate Delay,Cold wave speed restriction,4,679,Superfast
JRN1273,12203,Garib Rath,New Delhi,Patna Jn,Eastern,1001,2024-11-25,2024,November,Winter,16:45,16:46,1,Minor Delay,Dense fog signal restriction,5,588,Express
JRN1274,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2022-12-10,2022,December,Winter,16:30,17:27,57,Moderate Delay,Track inspection,8,726,Superfast
JRN1275,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2022-08-23,2022,August,Monsoon,20:45,23:34,169,Severe Delay,Flood affected route,8,840,Superfast
JRN1276,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2023-12-27,2023,December,Winter,22:30,23:28,58,Moderate Delay,Cold wave speed restriction,7,684,Mail
JRN1277,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2024-01-01,2024,January,Winter,23:00,23:29,29,Minor Delay,Technical snag,3,533,Express
JRN1278,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2022-06-27,2022,June,Monsoon,19:00,21:26,146,Severe Delay,Signal failure due to rain,3,665,Mail
JRN1279,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2022-08-20,2022,August,Monsoon,21:45,23:19,94,Major Delay,Signal failure due to rain,1,594,Superfast
JRN1280,12859,Gitanjali Express,Mumbai CST,Howrah,Central,1968,2022-06-08,2022,June,Monsoon,15:30,16:47,77,Major Delay,Signal failure due to rain,2,887,Superfast
JRN1281,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2024-07-27,2024,July,Monsoon,17:45,19:31,106,Major Delay,Landslide near track,8,575,Superfast
JRN1282,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2022-11-08,2022,November,Winter,05:30,06:16,46,Moderate Delay,Late running due to fog,3,737,Express
JRN1283,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2024-08-12,2024,August,Monsoon,09:00,10:50,110,Major Delay,Signal failure due to rain,8,632,Superfast
JRN1284,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2023-08-18,2023,August,Monsoon,15:00,17:33,153,Severe Delay,Heavy rainfall on track,8,802,Superfast
JRN1285,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2023-04-03,2023,April,Summer,23:30,23:30,0,On Time,No Delay,4,575,Superfast
JRN1286,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2024-10-03,2024,October,Winter,14:00,14:50,50,Moderate Delay,Technical snag,2,906,Superfast
JRN1287,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2022-06-13,2022,June,Monsoon,13:30,15:57,147,Severe Delay,Heavy rainfall on track,4,811,Superfast
JRN1288,11057,Navjeevan Express,Ahmedabad,Chennai Central,Western,1901,2022-04-28,2022,April,Summer,06:45,07:54,69,Major Delay,Congestion at junction,3,525,Express
JRN1289,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2022-06-04,2022,June,Monsoon,08:00,10:06,126,Severe Delay,Heavy rainfall on track,5,849,Superfast
JRN1290,12051,Jan Shatabdi,Chennai Central,Coimbatore,Southern,496,2024-09-24,2024,September,Monsoon,12:00,14:23,143,Severe Delay,Heavy rainfall on track,8,575,Superfast
JRN1291,12841,Coromandel Express,Howrah,Chennai Central,Eastern,1663,2023-07-28,2023,July,Monsoon,12:15,13:00,45,Moderate Delay,Signal failure due to rain,5,660,Superfast
JRN1292,12301,Rajdhani Express,New Delhi,Mumbai Central,Northern,1384,2023-05-13,2023,May,Summer,16:30,16:30,0,On Time,No Delay,8,830,Superfast
JRN1293,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2022-01-03,2022,January,Winter,22:30,23:36,66,Major Delay,Track inspection,8,510,Express
JRN1294,22119,Tejas Express,Mumbai Central,Ahmedabad,Western,491,2024-12-25,2024,December,Winter,21:00,21:00,0,On Time,No Delay,4,594,Superfast
JRN1295,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2024-06-11,2024,June,Monsoon,10:30,10:30,0,On Time,No Delay,5,934,Superfast
JRN1296,22501,Humsafar Express,New Delhi,Lucknow,Northern,512,2023-12-12,2023,December,Winter,20:00,20:22,22,Minor Delay,Track inspection,2,566,Superfast
JRN1297,12311,Howrah Mail,Howrah,New Delhi,Eastern,1442,2024-01-05,2024,January,Winter,05:45,06:44,59,Moderate Delay,Cold wave speed restriction,6,931,Mail
JRN1298,12625,Kerala Express,New Delhi,Trivandrum Central,Southern,3054,2024-12-05,2024,December,Winter,14:15,14:28,13,Minor Delay,Cold wave speed restriction,2,604,Express
JRN1299,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-09-07,2022,September,Monsoon,14:00,16:52,172,Severe Delay,Track waterlogging,1,565,Express
JRN1300,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2024-08-24,2024,August,Monsoon,12:00,14:32,152,Severe Delay,Track waterlogging,2,604,Superfast
JRN1301,12303,Poorva Express,Howrah,New Delhi,Eastern,1531,2024-07-10,2024,July,Monsoon,10:45,13:27,162,Severe Delay,Heavy rainfall on track,7,698,Superfast
JRN1302,18409,Nandan Kanan Express,Howrah,Puri,Eastern,501,2024-09-03,2024,September,Monsoon,17:45,19:04,79,Major Delay,Signal failure due to rain,1,761,Express
JRN1303,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2022-08-09,2022,August,Monsoon,04:15,04:15,0,On Time,No Delay,4,761,Express
JRN1304,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2023-07-18,2023,July,Monsoon,22:45,23:51,66,Major Delay,Flood affected route,8,486,Express
JRN1305,12007,Mysore Express,Chennai Central,Mysore Jn,Southern,497,2024-08-06,2024,August,Monsoon,17:15,19:14,119,Major Delay,Track waterlogging,4,730,Express
JRN1306,12123,Deccan Queen,Mumbai CST,Pune Jn,Central,192,2022-04-07,2022,April,Summer,04:30,05:36,66,Major Delay,Signal failure,2,604,Superfast
JRN1307,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2023-07-01,2023,July,Monsoon,17:15,19:18,123,Severe Delay,Landslide near track,7,915,Superfast
JRN1308,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2023-09-04,2023,September,Monsoon,23:00,23:47,47,Moderate Delay,Track waterlogging,7,849,Superfast
JRN1309,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2022-05-04,2022,May,Summer,20:15,21:46,91,Major Delay,Track maintenance,4,944,Superfast
JRN1310,12009,Shatabdi Express,New Delhi,Chandigarh,Northern,248,2024-06-28,2024,June,Monsoon,11:45,13:14,89,Major Delay,Track waterlogging,5,726,Superfast
JRN1311,12415,Pink City Express,New Delhi,Jaipur Jn,Northern,308,2022-10-19,2022,October,Winter,12:00,12:44,44,Moderate Delay,Dense fog signal restriction,7,525,Express
JRN1312,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-11-13,2022,November,Winter,09:15,09:24,9,Minor Delay,Late running due to fog,2,730,Express
JRN1313,12007,Intercity Express,KSR Bangalore,Mysore Jn,South Western,139,2024-09-25,2024,September,Monsoon,14:15,15:24,69,Major Delay,Track waterlogging,7,659,Express
JRN1314,12621,Tamil Nadu Express,New Delhi,Chennai Central,Southern,2175,2024-03-27,2024,March,Summer,06:15,06:15,0,On Time,No Delay,8,944,Superfast
JRN1315,12649,Sampark Kranti,KSR Bangalore,New Delhi,South Western,2444,2022-11-22,2022,November,Winter,14:15,14:58,43,Moderate Delay,Cold wave speed restriction,7,585,Superfast
JRN1316,10101,Konkan Railway,Mumbai CST,Mangalore Central,Konkan,910,2022-06-24,2022,June,Monsoon,18:30,21:32,182,Severe Delay,Landslide near track,4,604,Express
JRN1317,12953,August Kranti,Mumbai Central,New Delhi,Western,1384,2023-05-09,2023,May,Summer,15:45,15:45,0,On Time,No Delay,3,944,Superfast
JRN1318,12903,Golden Temple Mail,Mumbai Central,Amritsar Jn,Northern,1930,2023-08-28,2023,August,Monsoon,09:15,12:44,209,Severe Delay,Signal failure due to rain,1,846,Mail
JRN1319,22435,Vande Bharat,New Delhi,Varanasi Jn,Northern,821,2024-05-22,2024,May,Summer,16:00,17:20,80,Major Delay,Late running connecting train,4,877,Superfast
